"Sortierfeld_Title","Title","Format","Title No.","Title No Electronic Journal version","Title No. Print Incl. ""Enhanced Access""","ISSN print","ISSN electronic","Publisher","Language","Vols Qty","Scheduled Vol Nos","Issues per vol","Currency","Institutional Rate Print incl. Free Access or E-Only","Currency","Institutional Rate incl. Enhanced Access","Price for Postage & Handling","Status","Comments","Dispatch included"
"Applied Geomatics","Applied Geomatics","E OF OA",12518,"12518E","12518N","1866-9298","1866-928X","Springer Berlin Heidelberg","E",1,2,4,,,,,,"New in 2009","New start in 2009. Only available in electronic format. Open Access Journal",
"Applied Geophysics","Applied Geophysics","P E",11770,"11770E","11770N","1672-7975","1993-0658","Chinese Geophysical Society, co-published with Springer","E",1,7,4,"USD",522,"USD",626.4,28,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. More content! ",
"Applied Intelligence","Applied Intelligence","P E OF",10489,"10489E","10489N","0924-669X","1573-7497","Springer US","E",2,"32+33",3,"USD",1022,"USD",1226.4,42,,"More content! ",
"Applied Magnetic Resonance","Applied Magnetic Resonance","P E OF",723,"723E","723N","0937-9347","1613-7507","Springer Wien","E",2,"38+39",4,"USD",2192,"USD",2630.4,80,,,
"Applied Mathematics Journal Chinese Universities","Applied Mathematics - A Journal of Chinese Universities","P E",11766,"11766E","11766N","1005-1031","1993-0445","Editorial Committee of Applied Mathematics - A Journal of Chinese Universities","E",1,25,4,"USD",672,"USD",806.4,28,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. ",
"Applied Mathematics Mechanics","Applied Mathematics and Mechanics","P E OF",10483,"10483E","10483N","0253-4827","1573-2754","Shanghai University Press, co-published with Springer","E",1,31,12,"USD",1044,"USD",1252.8,84,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. ",
"Applied Mathematics Optimization","Applied Mathematics and Optimization","P E OF",245,"245E","245N","0095-4616","1432-0606","Springer New York","E",2,"61+62",3,"USD",1202,"USD",1442.4,42,,,
"Applied Microbiology Biotechnology","Applied Microbiology and Biotechnology","P E OF S",253,"253E","253N","0175-7598","1432-0614","Springer Berlin Heidelberg","E",4,"85-88",6,"USD",7880,"USD",9456,240,,,
"Applied Physics A","Applied Physics A","P E OF S",339,"339E","339N","0947-8396","1432-0630","Springer Berlin Heidelberg","E",4,"98-101",4,"USD",5737,"USD",6884.4,160,,"See also combined subscription Applied Physics A+B. More content! ",
"Applied Physics B","Applied Physics B","P E OF S",340,"340E","340N","0946-2171","1432-0649","Springer Berlin Heidelberg","E",4,"98-101",4,"USD",5579,"USD",6694.8,160,,"See also combined subscription Applied Physics A+B. ",
"Applied Physics C","Applied Physics A+B","P E OF",219,"219E","219N",,,"Springer Berlin Heidelberg","E",,,,"USD",10041,"USD",12049.2,222,,"Combined subscription. ",
"Applied Psychophysiology Biofeedback","Applied Psychophysiology and Biofeedback","P E OF",10484,"10484E","10484N","1090-0586","1573-3270","Springer US","E",1,35,4,"USD",1004,"USD",1204.8,28,,,
"Applied Research Quality Life","Applied Research in Quality of Life","P E OF",11482,"11482E","11482N","1871-2584","1871-2576","Springer Netherlands","E",1,5,4,"USD",701,"USD",841.2,28,,,
"Applied Solar Energy","Applied Solar Energy","P E ",11949,"11949E","11949N","0003-701X","1934-9424","Allerton Press","E",1,46,4,"USD",2770,"USD",3324,28,,"Russian Library of Science, print and electronic version distributed exclusively worldwide. ",
"Applied spatial analysis policy","Applied Spatial Analysis and Policy","P E OF",12061,"12061E","12061N","1874-463X","1874-4621","Springer Netherlands","E",1,3,3,"USD",379,"USD",454.8,7,,,
"Aquaculture International","Aquaculture International","P E OF",10499,"10499E","10499N","0967-6120","1573-143X","Springer Netherlands","E",1,18,6,"USD",1114,"USD",1336.8,42,,"More content! ",
"Aquatic Ecology","Aquatic Ecology","P E OF",10452,"10452E","10452N","1386-2588","1573-5125","Springer Netherlands","E",1,44,4,"USD",452,"USD",542.4,28,,,
"Aquatic Geochemistry","Aquatic Geochemistry","P E OF",10498,"10498E","10498N","1380-6165","1573-1421","Springer Netherlands","E",1,16,4,"USD",504,"USD",604.8,28,,,
